wall,-64.0,-20.0,64.0,0.0,64.0,1.0,N
wall,64.0,-20.0,-64.0,0.0,64.0,1.0,N
wall,2112.0,-20.0,64.0,0.0,64.0,1.0,N
wall,64.0,-20.0,2112.0,0.0,64.0,1.0,N
wall,-64.0,-20.0,192.0,0.0,64.0,1.0,N
wall,192.0,-20.0,-64.0,0.0,64.0,1.0,N
wall,2112.0,-20.0,192.0,0.0,64.0,1.0,N
wall,192.0,-20.0,2112.0,0.0,64.0,1.0,N
wall,-64.0,-20.0,320.0,0.0,64.0,1.0,N
wall,320.0,-20.0,-64.0,0.0,64.0,1.0,N
wall,2112.0,-20.0,320.0,0.0,64.0,1.0,N
wall,320.0,-20.0,2112.0,0.0,64.0,1.0,N
wall,-64.0,-20.0,448.0,0.0,64.0,1.0,N
wall,448.0,-20.0,-64.0,0.0,64.0,1.0,N
wall,2112.0,-20.0,448.0,0.0,64.0,1.0,N
wall,448.0,-20.0,2112.0,0.0,64.0,1.0,N
wall,-64.0,-20.0,576.0,0.0,64.0,1.0,N
wall,576.0,-20.0,-64.0,0.0,64.0,1.0,N
wall,2112.0,-20.0,576.0,0.0,64.0,1.0,N
wall,576.0,-20.0,2112.0,0.0,64.0,1.0,N
wall,-64.0,-20.0,704.0,0.0,64.0,1.0,N
wall,704.0,-20.0,-64.0,0.0,64.0,1.0,N
wall,2112.0,-20.0,704.0,0.0,64.0,1.0,N
wall,704.0,-20.0,2112.0,0.0,64.0,1.0,N
wall,-64.0,-20.0,832.0,0.0,64.0,1.0,N
wall,832.0,-20.0,-64.0,0.0,64.0,1.0,N
wall,2112.0,-20.0,832.0,0.0,64.0,1.0,N
wall,832.0,-20.0,2112.0,0.0,64.0,1.0,N
wall,-64.0,-20.0,960.0,0.0,64.0,1.0,N
wall,960.0,-20.0,-64.0,0.0,64.0,1.0,N
wall,2112.0,-20.0,960.0,0.0,64.0,1.0,N
wall,960.0,-20.0,2112.0,0.0,64.0,1.0,N
wall,-64.0,-20.0,1088.0,0.0,64.0,1.0,N
wall,1088.0,-20.0,-64.0,0.0,64.0,1.0,N
wall,2112.0,-20.0,1088.0,0.0,64.0,1.0,N
wall,1088.0,-20.0,2112.0,0.0,64.0,1.0,N
wall,-64.0,-20.0,1216.0,0.0,64.0,1.0,N
wall,1216.0,-20.0,-64.0,0.0,64.0,1.0,N
wall,2112.0,-20.0,1216.0,0.0,64.0,1.0,N
wall,1216.0,-20.0,2112.0,0.0,64.0,1.0,N
wall,-64.0,-20.0,1344.0,0.0,64.0,1.0,N
wall,1344.0,-20.0,-64.0,0.0,64.0,1.0,N
wall,2112.0,-20.0,1344.0,0.0,64.0,1.0,N
wall,1344.0,-20.0,2112.0,0.0,64.0,1.0,N
wall,-64.0,-20.0,1472.0,0.0,64.0,1.0,N
wall,1472.0,-20.0,-64.0,0.0,64.0,1.0,N
wall,2112.0,-20.0,1472.0,0.0,64.0,1.0,N
wall,1472.0,-20.0,2112.0,0.0,64.0,1.0,N
wall,-64.0,-20.0,1600.0,0.0,64.0,1.0,N
wall,1600.0,-20.0,-64.0,0.0,64.0,1.0,N
wall,2112.0,-20.0,1600.0,0.0,64.0,1.0,N
wall,1600.0,-20.0,2112.0,0.0,64.0,1.0,N
wall,-64.0,-20.0,1728.0,0.0,64.0,1.0,N
wall,1728.0,-20.0,-64.0,0.0,64.0,1.0,N
wall,2112.0,-20.0,1728.0,0.0,64.0,1.0,N
wall,1728.0,-20.0,2112.0,0.0,64.0,1.0,N
wall,-64.0,-20.0,1856.0,0.0,64.0,1.0,N
wall,1856.0,-20.0,-64.0,0.0,64.0,1.0,N
wall,2112.0,-20.0,1856.0,0.0,64.0,1.0,N
wall,1856.0,-20.0,2112.0,0.0,64.0,1.0,N
wall,-64.0,-20.0,1984.0,0.0,64.0,1.0,N
wall,1984.0,-20.0,-64.0,0.0,64.0,1.0,N
